question_id,category,question,ground_truth,generated_answer,source_url,reciprocal_rank,rouge_l_f1,bert_score_f1
q041,comparative,How does The Persistence of Memory compare to others in its field?,"The Persistence of Memory (Catalan: La persistència de la memòria, Spanish: La persistencia de la memoria) is a 1931 painting by artist Salvador Dalí and one of the most recognizable works of Surrealism.","The Persistence of Memory (Catalan: La persistència de la memòria, Spanish: La persistencia de la memoria) is a 1931 painting by artist Salvador Dalí and one of the most recognizable works of Surrealism.",https://en.wikipedia.org/wiki/The_Persistence_of_Memory,1.0,1.0,1.0
q042,comparative,What are the main characteristics of Michael Neary (bishop)?,Michael Neary KC*HS (born 15 April 1946) is an Irish prelate in the Catholic Church who served as Archbishop of Tuam between 1995 and 2021.,Michael Neary KC*HS (born 15 April 1946) is an Irish prelate in the Catholic Church who served as Archbishop of Tuam between 1995 and 2021.,https://en.wikipedia.org/wiki/Michael_Neary_(bishop),1.0,1.0,0.9999998211860657
q043,comparative,What are the main characteristics of Oleksandr Maksymov?,Oleksandr Maksymov (Ukrainian: Олександр Олександрович Максимов; born 13 February 1985) is a Ukrainian former footballer.,Oleksandr Maksymov (Ukrainian: Олександр Олександрович Максимов; born 13 February 1985) is a Ukrainian former footballer.,https://en.wikipedia.org/wiki/Oleksandr_Maksymov,1.0,1.0,1.0
q044,comparative,How does Cadden compare to others in its field?,Cadden is a surname.,Cadden is a surname.,https://en.wikipedia.org/wiki/Cadden,1.0,1.0,1.0
q045,comparative,What are the main characteristics of Queen Victoria?,Victoria (Alexandrina Victoria; 24 May 1819 – 22 January 1901) was Queen of the United Kingdom of Great Britain and Ireland from 20 June 1837 until her death in 1901.,Victoria (Alexandrina Victoria; 24 May 1819 – 22 January 1901) was Queen of the United Kingdom of Great Britain and Ireland from 20 June 1837 until her death in 1901.,https://en.wikipedia.org/wiki/Queen_Victoria,1.0,1.0,1.0
q046,comparative,What are the main characteristics of Sheikh Barakeh?,"Sheikh Barakeh (Arabic: الشيخ بركة) is a Syrian village located in Sinjar Nahiyah in Maarrat al-Nu'man District, Idlib.","Sheikh Barakeh (Arabic: الشيخ بركة) is a Syrian village located in Sinjar Nahiyah in Maarrat al-Nu'man District, Idlib.",https://en.wikipedia.org/wiki/Sheikh_Barakeh,1.0,1.0,0.9999996423721313
q047,comparative,What distinguishes Renaissance from similar entities?,"The Renaissance (UK: /rɪˈneɪsəns/ rin-AY-sənss, US: /ˈrɛnəsɑːns/ ⓘ REN-ə-sahnss)[a] is a European period of history and cultural movement, very roughly defined as covering the 14th through 17th centuries, though sometimes more narrowly defined for instance as only covering the 15th through 16th centuries.","The Renaissance (UK: /rɪˈneɪsəns/ rin-AY-sənss, US: /ˈrɛnəsɑːns/ ⓘ REN-ə-sahnss)[a] is a European period of history and cultural movement, very roughly defined as covering the 14th through 17th centuries, though sometimes more narrowly defined for instance as only covering the 15th through 16th centuries.",https://en.wikipedia.org/wiki/Renaissance,1.0,1.0,0.9999998211860657
q048,comparative,How does Anambra waxbill compare to others in its field?,The Anambra waxbill (Estrilda poliopareia) is a species of estrildid finch found in wetter land of southern Nigeria and Benin.,The Anambra waxbill (Estrilda poliopareia) is a species of estrildid finch found in wetter land of southern Nigeria and Benin.,https://en.wikipedia.org/wiki/Anambra_waxbill,1.0,1.0,1.0
q049,comparative,What distinguishes Chip Brian from similar entities?,Earl W.,Earl W.,https://en.wikipedia.org/wiki/Chip_Brian,1.0,1.0,0.9999998211860657
q050,comparative,What distinguishes Bill Smith (Motorola engineer) from similar entities?,William B.,William B.,https://en.wikipedia.org/wiki/Bill_Smith_(Motorola_engineer),1.0,1.0,1.0000007152557373
q051,comparative,How does Tolib Ayombekov compare to others in its field?,"Tolibbek Ayyombekov (Tajiki: Толиббек Айёмбеков, Perso-Arabic script: طالب‌بیک ایام‌بیک‌اف; born 6 July 1966 in Khorog), commonly known as Tolib Ayombekov (Tajiki: Толиб Аёмбеков, Perso-Arabic script: طالب ایام‌بیک‌اف), is a Pamiri jailed ex-opposition fighter from Tajikistan, who was involved in the Gorno-Badakhshan clashes in 2012 against the government forces of ruling Tajik president Emomali Rahmon.","Tolibbek Ayyombekov (Tajiki: Толиббек Айёмбеков, Perso-Arabic script: طالب‌بیک ایام‌بیک‌اف; born 6 July 1966 in Khorog), commonly known as Tolib Ayombekov (Tajiki: Толиб Аёмбеков, Perso-Arabic script: طالب ایام‌بیک‌اف), is a Pamiri jailed ex-opposition fighter from Tajikistan, who was involved in the Gorno-Badakhshan clashes in 2012 against the government forces of ruling Tajik president Emomali Rahmon.",https://en.wikipedia.org/wiki/Tolib_Ayombekov,1.0,1.0,1.0
q052,comparative,What distinguishes Andrew Seabrook from similar entities?,Andrew Seabrook (born 22 June 1978 in Camberley) is a pair skater who has represented Great Britain.,Andrew Seabrook (born 22 June 1978 in Camberley) is a pair skater who has represented Great Britain.,https://en.wikipedia.org/wiki/Andrew_Seabrook,1.0,1.0,1.0
q053,comparative,What distinguishes LeBron James from similar entities?,"LeBron Raymone James (/ləˈbrɒn/ lə-BRON; born December 30, 1984) is an American professional basketball player for the Los Angeles Lakers of the National Basketball Association (NBA).","LeBron Raymone James (/ləˈbrɒn/ lə-BRON; born December 30, 1984) is an American professional basketball player for the Los Angeles Lakers of the National Basketball Association (NBA).",https://en.wikipedia.org/wiki/LeBron_James,1.0,1.0,1.0
q054,comparative,What are the main characteristics of Darulaman?,"Darulaman (Pashto[a]; Dari[b]: دارالامان) is a locality on the south-western fringes of Kabul, Afghanistan, forming part of District 6.","Darulaman (Pashto[a]; Dari[b]: دارالامان) is a locality on the south-western fringes of Kabul, Afghanistan, forming part of District 6.",https://en.wikipedia.org/wiki/Darulaman,1.0,1.0,1.0
q055,comparative,What are the main characteristics of Machu Picchu?,"Machu Picchu[b] is a 15th-century Inca citadel located in the Eastern Cordillera of southern Peru on a mountain ridge at 2,430 meters (7,970 ft).","Machu Picchu[b] is a 15th-century Inca citadel located in the Eastern Cordillera of southern Peru on a mountain ridge at 2,430 meters (7,970 ft).",https://en.wikipedia.org/wiki/Machu_Picchu,1.0,1.0,0.999999463558197
q056,comparative,How does Dacidava compare to others in its field?,"Dacidava was a Dacian fortified town, located in the North-Western part of present Transylvania, Romania, about 35 km North of the border established on Meseș Mountains, which was separating the dacian territory controlled by the Roman Empire and the territories inhabited by the free Dacians.","Dacidava was a Dacian fortified town, located in the North-Western part of present Transylvania, Romania, about 35 km North of the border established on Meseș Mountains, which was separating the dacian territory controlled by the Roman Empire and the territories inhabited by the free Dacians.",https://en.wikipedia.org/wiki/Dacidava,1.0,1.0,1.0
q057,comparative,How does 1974 Detroit Lions season compare to others in its field?,The 1974 Detroit Lions season was the 45th season in franchise history.,The 1974 Detroit Lions season was the 45th season in franchise history.,https://en.wikipedia.org/wiki/1974_Detroit_Lions_season,1.0,1.0,1.0000003576278687
q058,comparative,What are the main characteristics of Sooty-headed wren?,Thryothorus spadix The sooty-headed wren (Pheugopedius spadix) is a species of bird in the family Troglodytidae.,Thryothorus spadix The sooty-headed wren (Pheugopedius spadix) is a species of bird in the family Troglodytidae.,https://en.wikipedia.org/wiki/Sooty-headed_wren,1.0,1.0,1.0000007152557373
q059,comparative,What distinguishes Astronomy from similar entities?,Astronomy is a natural science that studies celestial objects and the phenomena that occur in the cosmos.,Astronomy is a natural science that studies celestial objects and the phenomena that occur in the cosmos.,https://en.wikipedia.org/wiki/Astronomy,1.0,1.0,1.0000003576278687
q060,comparative,How does Quarters! compare to others in its field?,Quarters! is the sixth studio album by Australian psychedelic rock band King Gizzard & the Lizard Wizard.,Quarters! is the sixth studio album by Australian psychedelic rock band King Gizzard & the Lizard Wizard.,https://en.wikipedia.org/wiki/Quarters!,1.0,1.0,1.0000003576278687
q061,inferential,How has Yang Huimin influenced its domain?,"Yang Xixian (traditional Chinese: 楊希賢; simplified Chinese: 杨希贤; pinyin: Yáng Xīxián), formerly known as Yang Huimin (traditional Chinese: 楊惠敏; simplified Chinese: 杨惠敏; pinyin: Yáng Huìmǐn; March 6, 1915 – March 9, 1992): 105 was a Girl Guide in the 1937 Battle of Shanghai during World War II who supplied a Republic of China flag and brought supplies to besieged defenders of the Sihang Warehouse.","Yang Xixian (traditional Chinese: 楊希賢; simplified Chinese: 杨希贤; pinyin: Yáng Xīxián), formerly known as Yang Huimin (traditional Chinese: 楊惠敏; simplified Chinese: 杨惠敏; pinyin: Yáng Huìmǐn; March 6, 1915 – March 9, 1992): 105 was a Girl Guide in the 1937 Battle of Shanghai during World War II who supplied a Republic of China flag and brought supplies to besieged defenders of the Sihang Warehouse.",https://en.wikipedia.org/wiki/Yang_Huimin,1.0,1.0,1.0
q062,inferential,Why is Paolo Angeli significant?,"Paolo Angeli (born 1970 in Olbia, Sardinia, Italy) is a guitarist, composer, ethnomusicologist and instrument builder associated with traditional Sardinian music, flamenco, jazz, post-rock and experimental music.","Paolo Angeli (born 1970 in Olbia, Sardinia, Italy) is a guitarist, composer, ethnomusicologist and instrument builder associated with traditional Sardinian music, flamenco, jazz, post-rock and experimental music.",https://en.wikipedia.org/wiki/Paolo_Angeli,1.0,1.0,1.0
q063,inferential,Why is Olympic Games significant?,The modern Olympic Games (Olympics; French: Jeux olympiques)[a] are the world's preeminent international sporting events.,The modern Olympic Games (Olympics; French: Jeux olympiques)[a] are the world's preeminent international sporting events.,https://en.wikipedia.org/wiki/Olympic_Games,1.0,1.0,0.999999463558197
q064,inferential,How has National Highway 715 (India) influenced its domain?,National Highway 715 (NH 715) is a National Highway in India.,National Highway 715 (NH 715) is a National Highway in India.,https://en.wikipedia.org/wiki/National_Highway_715_(India),1.0,1.0,1.0
q065,inferential,How has Nuclear power influenced its domain?,Nuclear power is the use of nuclear reactions to produce electricity.,Nuclear power is the use of nuclear reactions to produce electricity.,https://en.wikipedia.org/wiki/Nuclear_power,1.0,1.0,1.0000007152557373
q066,inferential,Why is Novalyne Price Ellis significant?,"Novalyne Price Ellis (March 9, 1908 – March 30, 1999) was an American high school teacher and writer.","Novalyne Price Ellis (March 9, 1908 – March 30, 1999) was an American high school teacher and writer.",https://en.wikipedia.org/wiki/Novalyne_Price_Ellis,1.0,1.0,1.0
q067,inferential,What can be inferred about Careful (Paramore song) from its history?,"""Careful"" is a song by American rock band Paramore, and is the fourth single from their third studio album, Brand New Eyes.","""Careful"" is a song by American rock band Paramore, and is the fourth single from their third studio album, Brand New Eyes.",https://en.wikipedia.org/wiki/Careful_(Paramore_song),1.0,1.0,1.0
q068,inferential,What can be inferred about Hervey de Stanton from its history?,Hervey de Stanton (or Staunton) (1260 – November 1327) was an English judge (serving both as Chief Justice of the King's Bench and as Chief Justice of the Common Pleas) and Chancellor of the Exchequer.,Hervey de Stanton (or Staunton) (1260 – November 1327) was an English judge (serving both as Chief Justice of the King's Bench and as Chief Justice of the Common Pleas) and Chancellor of the Exchequer.,https://en.wikipedia.org/wiki/Hervey_de_Stanton,1.0,1.0,1.0
q069,inferential,What can be inferred about Dike-Orne House from its history?,"The Dike-Orne House was a historic house in Winchester, Massachusetts.","The Dike-Orne House was a historic house in Winchester, Massachusetts.",https://en.wikipedia.org/wiki/Dike-Orne_House,1.0,1.0,1.0
q070,inferential,What can be inferred about Cold War from its history?,"The Cold War was a period of international geopolitical rivalry between the United States (US) and the Soviet Union (USSR) and their respective allies, the capitalist Western Bloc and communist Eastern Bloc, which began in the aftermath of the Second World War[A] and ended with the dissolution of the Soviet Union in 1991.","The Cold War was a period of international geopolitical rivalry between the United States (US) and the Soviet Union (USSR) and their respective allies, the capitalist Western Bloc and communist Eastern Bloc, which began in the aftermath of the Second World War[A] and ended with the dissolution of the Soviet Union in 1991.",https://en.wikipedia.org/wiki/Cold_War,1.0,1.0,0.9999996423721313
q071,inferential,What can be inferred about Robert B. Sinclair from its history?,"Robert Bruce Sinclair (May 24, 1905 – January 3, 1970) was an American director who worked in film, theater and television.","Robert Bruce Sinclair (May 24, 1905 – January 3, 1970) was an American director who worked in film, theater and television.",https://en.wikipedia.org/wiki/Robert_B._Sinclair,1.0,1.0,1.0
q072,inferential,How has Almahmoud influenced its domain?,Almahmoud (1947–1971) was an American Thoroughbred racemare that was best known as an influential broodmare who produced Natalma and Cosmah.,Almahmoud (1947–1971) was an American Thoroughbred racemare that was best known as an influential broodmare who produced Natalma and Cosmah.,https://en.wikipedia.org/wiki/Almahmoud,1.0,1.0,0.9999996423721313
q073,inferential,How has Jerry Huntsman influenced its domain?,"James Owen ""Jerry"" Huntsman (November 29, 1929 – April 5, 2005) was an American football player and coach.","James Owen ""Jerry"" Huntsman (November 29, 1929 – April 5, 2005) was an American football player and coach.",https://en.wikipedia.org/wiki/Jerry_Huntsman,1.0,1.0,1.0000003576278687
q074,inferential,What can be inferred about Biodiversity from its history?,Biodiversity is the variability of life on Earth.,Biodiversity is the variability of life on Earth.,https://en.wikipedia.org/wiki/Biodiversity,1.0,1.0,1.0000003576278687
q075,inferential,How has UEFA Champions League influenced its domain?,"The UEFA Champions League (UCL), usually known simply as the Champions League, is an annual club association football competition organised by the Union of European Football Associations (UEFA) that is contested by top-division European clubs.","The UEFA Champions League (UCL), usually known simply as the Champions League, is an annual club association football competition organised by the Union of European Football Associations (UEFA) that is contested by top-division European clubs.",https://en.wikipedia.org/wiki/UEFA_Champions_League,1.0,1.0,0.9999998211860657
q076,inferential,What can be inferred about Palmyra fold belt from its history?,The Palmyra fold belt forms fold mountains found mostly in Syria.,The Palmyra fold belt forms fold mountains found mostly in Syria.,https://en.wikipedia.org/wiki/Palmyra_fold_belt,1.0,1.0,0.999999463558197
q077,inferential,Why is COVID-19 pandemic significant?,"The global COVID-19 pandemic (also known as the coronavirus pandemic), caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), began with an outbreak in Wuhan, China, in December 2019.","The global COVID-19 pandemic (also known as the coronavirus pandemic), caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), began with an outbreak in Wuhan, China, in December 2019.",https://en.wikipedia.org/wiki/COVID-19_pandemic,1.0,1.0,1.0
q078,inferential,How has 5G influenced its domain?,5G is the fifth generation of cellular network technology and the successor to 4G.,5G is the fifth generation of cellular network technology and the successor to 4G.,https://en.wikipedia.org/wiki/5G,1.0,1.0,1.0
q079,inferential,Why is Preußens Gloria significant?,"Preußens Gloria, Prussian Army March Collection II, p.","Preußens Gloria, Prussian Army March Collection II, p.",https://en.wikipedia.org/wiki/Preu%C3%9Fens_Gloria,1.0,1.0,1.0000003576278687
q080,inferential,What can be inferred about Are You a Mason? (1934 film) from its history?,"Are You a Mason? is a 1934 British comedy film directed by Henry Edwards and starring Sonnie Hale, Robertson Hare, Davy Burnaby and Gwyneth Lloyd.","Are You a Mason? is a 1934 British comedy film directed by Henry Edwards and starring Sonnie Hale, Robertson Hare, Davy Burnaby and Gwyneth Lloyd.",https://en.wikipedia.org/wiki/Are_You_a_Mason%3F_(1934_film),1.0,1.0,0.9999998211860657
